phase,checkpoint_fraction,global_step,cumulative_train_time_s,estimated_train_energy_j,adapter_size_mb,accuracy,accept_prob,accepted_accuracy,avg_confidence,latency_s_per_sample,eval_samples,checkpoint_dir
baseline,0.0,0,0.0,0.0,0.0,0.74,0.69,0.855072463768116,0.9497559077292681,0.05560553180519492,400,
lora_checkpoint,0.25,50,11.144395847804844,3761.233598634135,77.05546474456787,0.4975,0.24,0.8854166666666666,0.8315551016479731,0.0546187432599254,400,results/lora_qwen_agnews_profile/qwen25_7b_rank8_20260728_003146/checkpoint_step_50
lora_checkpoint,0.5,100,44.469738216139376,15008.53664794704,77.05546474456787,0.875,0.135,0.8888888888888888,0.8720975814759732,0.055141252973116936,400,results/lora_qwen_agnews_profile/qwen25_7b_rank8_20260728_003146/checkpoint_step_100
lora_checkpoint,1.0,200,89.00155641045421,30038.025288528297,77.05546474456787,0.785,0.395,0.9683544303797469,0.8893048120290041,0.05487462923629209,400,results/lora_qwen_agnews_profile/qwen25_7b_rank8_20260728_003146/checkpoint_step_200
