phase,checkpoint_fraction,global_step,cumulative_train_time_s,estimated_train_energy_j,adapter_size_mb,accuracy,accept_prob,accepted_accuracy,avg_confidence,latency_s_per_sample,eval_samples,checkpoint_dir
baseline,0.0,0,0.0,0.0,0.0,0.74,0.8375,0.8059701492537313,0.9497559077292681,0.0548542521474883,400,
lora_checkpoint,0.25,50,11.05642344802618,3731.542913708836,77.05546474456787,0.4975,0.4525,0.5911602209944752,0.8315551016479731,0.05368322338210419,400,results/lora_qwen_agnews_profile/qwen25_7b_rank8_20260728_001955/checkpoint_step_50
lora_checkpoint,0.5,100,43.900172144174576,14816.30809865892,77.05546474456787,0.875,0.61,0.9344262295081968,0.8720975814759732,0.05371033609611914,400,results/lora_qwen_agnews_profile/qwen25_7b_rank8_20260728_001955/checkpoint_step_100
lora_checkpoint,1.0,200,87.66920319758356,29588.35607918445,77.05546474456787,0.785,0.6375,0.9098039215686274,0.8893048120290041,0.05384905198821798,400,results/lora_qwen_agnews_profile/qwen25_7b_rank8_20260728_001955/checkpoint_step_200
