phase,checkpoint_fraction,global_step,confidence_threshold,accuracy,accept_prob,offload_prob,accepted_accuracy,avg_confidence,latency_s_per_sample,eval_samples,cumulative_train_time_s,estimated_train_energy_j,adapter_size_mb,checkpoint_dir
baseline,0.0,0,0.3,0.51,0.965,0.03500000000000003,0.5181347150259067,0.7222194515913725,0.0974770511733368,200,0.0,0.0,0.0,
baseline,0.0,0,0.5,0.51,0.785,0.21499999999999997,0.5859872611464968,0.7222194515913725,0.0974770511733368,200,0.0,0.0,0.0,
baseline,0.0,0,0.7,0.51,0.575,0.42500000000000004,0.6782608695652174,0.7222194515913725,0.0974770511733368,200,0.0,0.0,0.0,
baseline,0.0,0,0.8,0.51,0.465,0.5349999999999999,0.7204301075268817,0.7222194515913725,0.0974770511733368,200,0.0,0.0,0.0,
baseline,0.0,0,0.9,0.51,0.295,0.7050000000000001,0.7457627118644068,0.7222194515913725,0.0974770511733368,200,0.0,0.0,0.0,
lora_checkpoint,1.0,100,0.3,0.655,0.92,0.07999999999999996,0.6902173913043478,0.6901557131111622,0.09612000144552439,200,28.688124742358923,9682.959303664695,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M100_rank8_20260728_112551/checkpoint_step_100
lora_checkpoint,1.0,100,0.5,0.655,0.75,0.25,0.7533333333333333,0.6901557131111622,0.09612000144552439,200,28.688124742358923,9682.959303664695,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M100_rank8_20260728_112551/checkpoint_step_100
lora_checkpoint,1.0,100,0.7,0.655,0.555,0.44499999999999995,0.8378378378378378,0.6901557131111622,0.09612000144552439,200,28.688124742358923,9682.959303664695,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M100_rank8_20260728_112551/checkpoint_step_100
lora_checkpoint,1.0,100,0.8,0.655,0.455,0.5449999999999999,0.8571428571428571,0.6901557131111622,0.09612000144552439,200,28.688124742358923,9682.959303664695,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M100_rank8_20260728_112551/checkpoint_step_100
lora_checkpoint,1.0,100,0.9,0.655,0.255,0.745,0.9019607843137255,0.6901557131111622,0.09612000144552439,200,28.688124742358923,9682.959303664695,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M100_rank8_20260728_112551/checkpoint_step_100
