phase,checkpoint_fraction,global_step,cumulative_train_time_s,estimated_train_energy_j,adapter_size_mb,accuracy,accept_prob,accepted_accuracy,avg_confidence,latency_s_per_sample,eval_samples,checkpoint_dir
baseline,0.0,0,0.0,0.0,0.0,0.74,0.7825,0.8178913738019169,0.9497559077292681,0.05444798612268641,400,
lora_checkpoint,0.25,50,11.062624933198094,3733.635914954357,77.05546474456787,0.4975,0.355,0.7112676056338029,0.8315551016479731,0.054017563888337464,400,results/lora_qwen_agnews_profile/qwen25_7b_rank8_20260728_002800/checkpoint_step_50
lora_checkpoint,0.5,100,44.06181915849447,14870.863965991884,77.05546474456787,0.875,0.44,0.9488636363636364,0.8720975814759732,0.05370490513043478,400,results/lora_qwen_agnews_profile/qwen25_7b_rank8_20260728_002800/checkpoint_step_100
lora_checkpoint,1.0,200,87.83095460571349,29642.9471794283,77.05546474456787,0.785,0.5325,0.9436619718309859,0.8893048120290041,0.053499224982224404,400,results/lora_qwen_agnews_profile/qwen25_7b_rank8_20260728_002800/checkpoint_step_200
