phase,checkpoint_fraction,global_step,confidence_threshold,accuracy,accept_prob,offload_prob,accepted_accuracy,avg_confidence,latency_s_per_sample,eval_samples,cumulative_train_time_s,estimated_train_energy_j,adapter_size_mb,checkpoint_dir
baseline,0.0,0,0.3,0.545,0.966,0.03400000000000003,0.556935817805383,0.7328266366869212,0.0959935897141695,1000,0.0,0.0,0.0,
baseline,0.0,0,0.5,0.545,0.806,0.19399999999999995,0.6066997518610422,0.7328266366869212,0.0959935897141695,1000,0.0,0.0,0.0,
baseline,0.0,0,0.7,0.545,0.594,0.406,0.6784511784511784,0.7328266366869212,0.0959935897141695,1000,0.0,0.0,0.0,
baseline,0.0,0,0.8,0.545,0.479,0.521,0.7244258872651357,0.7328266366869212,0.0959935897141695,1000,0.0,0.0,0.0,
baseline,0.0,0,0.9,0.545,0.311,0.6890000000000001,0.7845659163987139,0.7328266366869212,0.0959935897141695,1000,0.0,0.0,0.0,
lora_checkpoint,0.1,200,0.3,0.7,0.96,0.040000000000000036,0.7197916666666667,0.7049923776388168,0.09645870245527476,1000,57.5059752818197,19409.704306996195,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_200
lora_checkpoint,0.1,200,0.5,0.7,0.796,0.20399999999999996,0.7952261306532663,0.7049923776388168,0.09645870245527476,1000,57.5059752818197,19409.704306996195,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_200
lora_checkpoint,0.1,200,0.7,0.7,0.583,0.41700000000000004,0.8679245283018868,0.7049923776388168,0.09645870245527476,1000,57.5059752818197,19409.704306996195,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_200
lora_checkpoint,0.1,200,0.8,0.7,0.422,0.5780000000000001,0.8909952606635071,0.7049923776388168,0.09645870245527476,1000,57.5059752818197,19409.704306996195,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_200
lora_checkpoint,0.1,200,0.9,0.7,0.211,0.789,0.919431279620853,0.7049923776388168,0.09645870245527476,1000,57.5059752818197,19409.704306996195,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_200
lora_checkpoint,0.25,500,0.3,0.779,0.966,0.03400000000000003,0.7919254658385093,0.7679801218807697,0.09651019254047423,1000,143.652634607628,48486.355495939635,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_500
lora_checkpoint,0.25,500,0.5,0.779,0.84,0.16000000000000003,0.8476190476190476,0.7679801218807697,0.09651019254047423,1000,143.652634607628,48486.355495939635,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_500
lora_checkpoint,0.25,500,0.7,0.779,0.68,0.31999999999999995,0.9029411764705882,0.7679801218807697,0.09651019254047423,1000,143.652634607628,48486.355495939635,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_500
lora_checkpoint,0.25,500,0.8,0.779,0.565,0.43500000000000005,0.9362831858407079,0.7679801218807697,0.09651019254047423,1000,143.652634607628,48486.355495939635,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_500
lora_checkpoint,0.25,500,0.9,0.779,0.396,0.604,0.9621212121212122,0.7679801218807697,0.09651019254047423,1000,143.652634607628,48486.355495939635,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_500
lora_checkpoint,0.5,1000,0.3,0.784,0.993,0.007000000000000006,0.7895266868076536,0.8622071653231979,0.09647470057103782,1000,287.30446542426944,96972.43969232653,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_1000
lora_checkpoint,0.5,1000,0.5,0.784,0.929,0.07099999999999995,0.8116254036598493,0.8622071653231979,0.09647470057103782,1000,287.30446542426944,96972.43969232653,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_1000
lora_checkpoint,0.5,1000,0.7,0.784,0.821,0.17900000000000005,0.856272838002436,0.8622071653231979,0.09647470057103782,1000,287.30446542426944,96972.43969232653,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_1000
lora_checkpoint,0.5,1000,0.8,0.784,0.742,0.258,0.889487870619946,0.8622071653231979,0.09647470057103782,1000,287.30446542426944,96972.43969232653,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_1000
lora_checkpoint,0.5,1000,0.9,0.784,0.633,0.367,0.9257503949447078,0.8622071653231979,0.09647470057103782,1000,287.30446542426944,96972.43969232653,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_1000
lora_checkpoint,1.0,2000,0.3,0.832,0.985,0.015000000000000013,0.8416243654822335,0.8413744118511677,0.09646518075000494,1000,574.4284378672019,193883.9584911273,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_2000
lora_checkpoint,1.0,2000,0.5,0.832,0.916,0.08399999999999996,0.8755458515283843,0.8413744118511677,0.09646518075000494,1000,574.4284378672019,193883.9584911273,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_2000
lora_checkpoint,1.0,2000,0.7,0.832,0.782,0.21799999999999997,0.9309462915601023,0.8413744118511677,0.09646518075000494,1000,574.4284378672019,193883.9584911273,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_2000
lora_checkpoint,1.0,2000,0.8,0.832,0.708,0.29200000000000004,0.9548022598870056,0.8413744118511677,0.09646518075000494,1000,574.4284378672019,193883.9584911273,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_2000
lora_checkpoint,1.0,2000,0.9,0.832,0.574,0.42600000000000005,0.9721254355400697,0.8413744118511677,0.09646518075000494,1000,574.4284378672019,193883.9584911273,77.05546474456787,results/lora_qwen_banking77_threshold_profile/qwen25_7b_banking77_M2000_rank8_20260728_113029/checkpoint_step_2000
