phase,checkpoint_fraction,global_step,cumulative_train_time_s,estimated_train_energy_j,adapter_size_mb,accuracy,accept_prob,accepted_accuracy,avg_confidence,latency_s_per_sample,eval_samples,checkpoint_dir
baseline,0.0,0,0.0,0.0,0.0,0.806,0.807,0.8711276332094176,0.942548244535923,0.05513540425989777,1000,
lora_checkpoint,0.25,250,57.96986009180546,19564.827780984342,77.05546474456787,0.879,0.683,0.9487554904831625,0.8919273973703384,0.05527668634708971,1000,results/lora_qwen_agnews_profile/qwen25_7b_rank8_20260728_003614/checkpoint_step_250
lora_checkpoint,0.5,500,171.56574598047882,57903.4392684116,77.05546474456787,0.879,0.634,0.9558359621451105,0.8802172301709652,0.05480975433532149,1000,results/lora_qwen_agnews_profile/qwen25_7b_rank8_20260728_003614/checkpoint_step_500
lora_checkpoint,1.0,1000,341.85566589422524,115376.28723930102,77.05546474456787,0.909,0.796,0.9698492462311558,0.9286411753296853,0.05495536514185369,1000,results/lora_qwen_agnews_profile/qwen25_7b_rank8_20260728_003614/checkpoint_step_1000
