phase,checkpoint_fraction,global_step,cumulative_train_time_s,estimated_train_energy_j,adapter_size_mb,accuracy,accept_prob,accepted_accuracy,avg_confidence,latency_s_per_sample,eval_samples,checkpoint_dir
baseline,0.0,0,0.0,0.0,0.0,0.74,0.895,0.7849162011173184,0.9497559077292681,0.05465712493052706,400,
lora_checkpoint,0.25,50,11.13057268038392,3756.568279629573,77.05546474456787,0.4975,0.6175,0.5303643724696356,0.8315551016479731,0.05438429845264182,400,results/lora_qwen_agnews_profile/qwen25_7b_rank8_20260728_001611/checkpoint_step_50
lora_checkpoint,0.5,100,44.51114337518811,15022.510889125988,77.05546474456787,0.875,0.7625,0.9245901639344263,0.8720975814759732,0.05462802328867838,400,results/lora_qwen_agnews_profile/qwen25_7b_rank8_20260728_001611/checkpoint_step_100
lora_checkpoint,1.0,200,88.88294076640159,29997.992508660536,77.05546474456787,0.785,0.76,0.8848684210526315,0.8893048120290041,0.05378251143731177,400,results/lora_qwen_agnews_profile/qwen25_7b_rank8_20260728_001611/checkpoint_step_200
