profile,rank,model,trainable_params,trainable_ratio,adapter_size_mb,train_time_s,estimated_train_energy_j,baseline_accuracy,final_accuracy,accuracy_gain,baseline_accept_prob,final_accept_prob,accept_prob_gain,baseline_accepted_accuracy,final_accepted_accuracy,latency_s_per_sample,peak_gpu_memory_mb,run_dir
light,4,gpt2,589824,0.004717473694555863,2.261444091796875,26.678267762996256,5002.175205561798,0.5791284403669725,0.6043577981651376,0.025229357798165042,0.21330275229357798,0.47477064220183485,0.26146788990825687,0.6505376344086021,0.6956521739130435,0.0009562893772771189,1355.23779296875,results/lora_gpt2_sst2_profile/gpt2_rank4_20260727_143747
medium,8,gpt2,1179648,0.00939064725769868,4.511482238769531,35.74261304643005,6701.739946205635,0.5791284403669725,0.6123853211009175,0.03325688073394495,0.21330275229357798,0.4323394495412844,0.2190366972477064,0.6505376344086021,0.6763925729442971,0.0010160100122982073,1306.45068359375,results/lora_gpt2_sst2_profile/gpt2_rank8_20260727_142953
strong,16,gpt2,2359296,0.018606566809809634,9.0115966796875,26.843114217743278,5033.0839158268645,0.5791284403669725,0.6169724770642202,0.037844036697247674,0.21330275229357798,0.41857798165137616,0.20527522935779818,0.6505376344086021,0.7123287671232876,0.0009726972357634831,1379.01904296875,results/lora_gpt2_sst2_profile/gpt2_rank16_20260727_143933
